beta  ances 
0.197 0.405
0.193 0.409
0.192 0.408
0.193 0.407
0.193 0.407
0.193 0.407
0.193 0.408
0.193 0.407
0.194 0.407
0.194 0.407
0.194 0.407
0.194 0.407
0.195 0.406
0.194 0.407
0.194 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
0.195 0.407
