beta  ances 
0.234 0.391
0.234 0.393
0.234 0.392
0.235 0.393
0.235 0.395
0.235 0.396
0.235 0.396
0.234 0.396
0.235 0.396
0.235 0.396
0.235 0.396
0.234 0.396
0.235 0.396
0.235 0.396
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.398
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.398
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.397
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
0.235 0.398
