"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","start","end","saccver","spid","gene_uni","evalue","protein_names","gene_ontology_biological_process","gene_ontology_i_ds"
"g94469",3690.05746792407,2.12229836253824,0.333653460725167,6.36078630182827,2.00723541631589e-10,1.5009704996127e-05,3865,5762,"sp|Q24133|DNAJ1_DROME","Q24133","DNAJ1",7.77e-121,"DnaJ protein homolog 1 (DROJ1)","chaperone cofactor-dependent protein refolding [GO:0051085]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of crystal cell differentiation [GO:0042691]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; response to heat [GO:0009408]","GO:0000122; GO:0005829; GO:0006457; GO:0008134; GO:0009408; GO:0042691; GO:0050821; GO:0051082; GO:0051085; GO:0051087"
"g4638",96.2558686767819,-6.44047110632654,1.08117431993049,-5.95692201303915,2.5703281987191e-09,7.22769134555179e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g135071",42.8217820123296,-5.83402576491872,0.982625689913332,-5.93718017430756,2.89965953043079e-09,7.22769134555179e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g80405",371.455366118195,-1.80821385909471,0.308107667869143,-5.86877266508887,4.39032921499712e-09,8.20750095097637e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g72727",3710.47246806786,1.43984510003871,0.251119929069568,5.73369507300167,9.82659283150458e-09,0.00013533388367226,0,7809,"sp|A4II20|EGR1_XENTR","A4II20","EGR1",4.51e-59,"Early growth response protein 1 (EGR-1)","circadian regulation of gene expression [GO:0032922]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0005737; GO:0006355; GO:0006357; GO:0008270; GO:0010385; GO:0032922; GO:0043565; GO:0044729; GO:0045893; GO:0045944; GO:1990841"
"g107963",278.185167306391,1.68449465449779,0.294660126058789,5.71673771076074,1.085885289836e-08,0.00013533388367226,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g75956",40.2118631183861,-7.66185853804348,1.45258600042718,-5.27463333378556,1.33021776472434e-07,0.00142101462872224,4775,9762,"sp|P04323|POL3_DROME","P04323","POL3",6.08e-70,"Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","DNA integration [GO:0015074]","GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"g80595",23.9924666751006,-1.87494295657709,0.363899745384321,-5.15236127630957,2.57226885314081e-07,0.00240436400375204,6653,8964,"sp|O00370|LORF2_HUMAN","O00370","LORF2",1.73e-24,"LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]","DNA recombination [GO:0006310]; nucleic acid phosphodiester bond hydrolysis [GO:0090305]; reverse transcription involved in RNA-mediated transposition [GO:0032199]; transposition, RNA-mediated [GO:0032197]","GO:0003964; GO:0006310; GO:0009036; GO:0032197; GO:0032199; GO:0046872; GO:0090305"
"g66948",3225.08770380791,2.64071648120295,0.5160400766649,5.1172701513215,3.09989470063642e-07,0.00257559917693544,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g120270",139.718869759115,-0.684272982378305,0.135210441396469,-5.06079985621711,4.17501295521133e-07,0.00312199118764793,NA,NA,NA,NA,NA,NA,NA,NA,NA
