"Treatment","gene","mean","sd","cv","DEG","change_in_treatment","spid","protein_names","evalue"
"Low","g10033",7.78698674173426,0.233144755681158,0.0299403046921374,"DEG","Up-regulated",NA,NA,NA
"Low","g10034",11.9564351551536,0.217810636790641,0.018217021542308,"DEG","Up-regulated",NA,NA,NA
"Low","g10070",10.9542682107153,0.171061651428736,0.0156159816555711,"DEG","Up-regulated","P08548","LINE-1 reverse transcriptase homolog (EC 2.7.7.49)",1.36e-21
"Low","g100808",8.59021925405385,0.223385442408263,0.0260046264014559,"DEG","Up-regulated","Q96DM1","PiggyBac transposable element-derived protein 4",2.13e-66
"Low","g10134",10.9808733543497,0.279566450828236,0.025459400341549,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.4e-20
"Low","g10145",10.2634424983089,0.131939724763889,0.0128553090043256,"DEG","Up-regulated",NA,NA,NA
"Low","g10146",10.7977703288929,0.152135469317054,0.0140895263265572,"DEG","Up-regulated",NA,NA,NA
"Low","g101688",10.1030128911147,0.280755410913868,0.0277892757279151,"DEG","Up-regulated",NA,NA,NA
"Low","g101772",5.33453930837064,0.157763465230972,0.0295739624569678,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",2.06e-27
"Low","g101899",10.8760291075917,0.214232596453346,0.019697685095731,"DEG","Up-regulated",NA,NA,NA
"Low","g10219",11.757249046398,0.197330552035776,0.016783734975507,"DEG","Up-regulated",NA,NA,NA
"Low","g102780",10.7342645262468,0.294921205892328,0.0274747473542508,"DEG","Up-regulated",NA,NA,NA
"Low","g1028",11.6568721158893,0.324088157630252,0.0278023259076929,"DEG","Up-regulated",NA,NA,NA
"Low","g10284",14.8436261856972,0.405549803803943,0.0273214778336791,"DEG","Up-regulated",NA,NA,NA
"Low","g102849",10.4269585611988,0.178804763907441,0.0171483144253412,"DEG","Up-regulated","O00370","LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",4.14e-18
"Low","g10301",9.51960858119066,0.135064516785952,0.0141880325891571,"DEG","Up-regulated",NA,NA,NA
"Low","g103388",8.70074323443298,0.140647623655899,0.0161650125588454,"DEG","Up-regulated","P11346","Raf homolog serine/threonine-protein kinase Raf (D-Raf) (dRAF-1) (EC 2.7.11.1) (Protein pole-hole)",2.39e-22
"Low","g10352",11.0596453049434,0.228060100733166,0.0206209235870547,"DEG","Up-regulated",NA,NA,NA
"Low","g10361",10.658443770828,0.22793920949047,0.0213857871178469,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",1.64e-26
"Low","g103626",8.85880036218048,0.185143263404556,0.0208993606171508,"DEG","Up-regulated",NA,NA,NA
"Low","g104176",11.0166049543787,0.18450148482723,0.0167475810915683,"DEG","Up-regulated",NA,NA,NA
"Low","g10430",12.5282075768709,0.168503070173822,0.0134498944992662,"DEG","Up-regulated",NA,NA,NA
"Low","g104355",9.82128385109389,0.222423373116571,0.0226470771529323,"DEG","Up-regulated",NA,NA,NA
"Low","g104359",10.9807952033972,0.239126981918622,0.0217768365122266,"DEG","Up-regulated",NA,NA,NA
"Low","g104552",9.48533914913545,0.108885155244103,0.0114793107059359,"DEG","Up-regulated",NA,NA,NA
"Low","g104556",8.10382371565607,0.168343652958181,0.0207733606831737,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.43e-14
