"Treatment","gene","mean","sd","cv","DEG","change","spid","protein_names","evalue"
"Moderate","g10034",11.9089511493841,0.178556188036477,0.0149934436539956,"DEG","Up-regulated",NA,NA,NA
"Moderate","g101688",9.91229855337924,0.15330621244515,0.015466262604942,"DEG","Up-regulated",NA,NA,NA
"Moderate","g104176",10.9562301705997,0.197754043601297,0.0180494604916166,"DEG","Up-regulated",NA,NA,NA
"Moderate","g10430",12.5101284139527,0.139514962321998,0.0111521606897652,"DEG","Up-regulated",NA,NA,NA
"Moderate","g10479",8.57756763840343,0.157595341335418,0.0183729639892122,"DEG","Up-regulated","Q9NBX4","Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase)",2.05e-17
"Moderate","g10635",11.6900586243979,0.18122944023583,0.0155028683823358,"DEG","Up-regulated","P31792","Pol polyprotein [Cleaved into: Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)] (Fragment)",4.36e-11
"Moderate","g10664",7.63976733268593,0.128918560284531,0.0168746710037839,"DEG","Up-regulated",NA,NA,NA
"Moderate","g106810",7.89545724695523,0.122132924486588,0.0154687588909035,"DEG","Up-regulated",NA,NA,NA
"Moderate","g107783",9.64257972725769,0.173439897695749,0.0179868772259635,"DEG","Up-regulated",NA,NA,NA
"Moderate","g10783",7.92340849638031,0.136717021059339,0.0172548242491594,"DEG","Up-regulated",NA,NA,NA
"Moderate","g10850",12.8092792888273,0.201816788305147,0.0157555147135544,"DEG","Up-regulated","Q95SX7","Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)",3.73e-19
"Moderate","g10918",12.0690058333269,0.241177399564309,0.0199832034962093,"DEG","Up-regulated",NA,NA,NA
"Moderate","g10953",10.7796328319115,0.125438215357675,0.0116365944289247,"DEG","Up-regulated","O00370","LINE-1 retrotransposable element ORF2 protein (ORF2p) [Includes: Reverse transcriptase (EC 2.7.7.49); Endonuclease (EC 3.1.21.-)]",1.35e-18
"Moderate","g110298",10.4217006153286,0.188788937627059,0.0181149837819542,"DEG","Up-regulated",NA,NA,NA
"Moderate","g11032",12.4793164864831,0.202846591138639,0.0162546235090961,"DEG","Up-regulated",NA,NA,NA
"Moderate","g111066",10.3867554819087,0.179358580155231,0.0172680083273003,"DEG","Up-regulated",NA,NA,NA
"Moderate","g111415",12.2721486939187,0.179969711242311,0.0146648900474529,"DEG","Up-regulated",NA,NA,NA
"Moderate","g116549",8.21601609603531,0.121228310569376,0.0147551208703055,"DEG","Up-regulated",NA,NA,NA
"Moderate","g11873",10.8866970431855,0.207094132255865,0.0190226779926328,"DEG","Up-regulated",NA,NA,NA
"Moderate","g12517",7.75474928212328,0.108428027877855,0.0139821448680242,"DEG","Up-regulated","P21328","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",3.08e-29
"Moderate","g12648",9.67260101569528,0.142643059064611,0.0147471252906173,"DEG","Up-regulated",NA,NA,NA
"Moderate","g127908",7.70796622083385,0.153882953990171,0.0199641448316472,"DEG","Up-regulated",NA,NA,NA
"Moderate","g13041",12.1841631245354,0.189583325366116,0.0155598151000088,"DEG","Up-regulated","Q10126","Putative uncharacterized transposon-derived protein F52C9.6",9.95e-18
"Moderate","g137406",9.10483865653672,0.124586458062651,0.0136835437466216,"DEG","Up-regulated","E9Q5F9","Histone-lysine N-methyltransferase SETD2 (EC 2.1.1.359) (Lysine N-methyltransferase 3A) (Protein-lysine N-methyltransferase SETD2) (EC 2.1.1.-) (SET domain-containing protein 2)",1.68e-11
"Moderate","g13956",11.7123940140614,0.232310947677295,0.0198346253890019,"DEG","Up-regulated",NA,NA,NA
"Moderate","g13966",8.44630209147894,0.138796438962996,0.0164328054407409,"DEG","Up-regulated",NA,NA,NA
"Moderate","g140440",12.1873445655942,0.12351304981831,0.0101345333393623,"DEG","Up-regulated",NA,NA,NA
"Moderate","g141588",10.6960097532609,0.157582346548074,0.0147328162729126,"DEG","Up-regulated",NA,NA,NA
"Moderate","g141606",7.73466538993279,0.152491859491794,0.0197153789859187,"DEG","Up-regulated","P51522","Zinc finger protein 83 (Zinc finger protein 816B) (Zinc finger protein HPF1)",2.16e-37
"Moderate","g14335",8.93383527897507,0.173841556473083,0.0194587823756056,"DEG","Up-regulated",NA,NA,NA
"Moderate","g14343",10.9629784347097,0.180352433997328,0.0164510433976881,"DEG","Up-regulated",NA,NA,NA
"Moderate","g14736",12.0241228270792,0.158386187979129,0.0131723694324239,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.42e-16
"Moderate","g14892",9.62614215202397,0.181709583310743,0.0188766777428627,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",1.68e-19
"Moderate","g151277",6.54730486467924,0.121392189536399,0.0185407877050714,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",9.11e-34
"Moderate","g15429",11.9725212472671,0.225093588836758,0.0188008510645273,"DEG","Up-regulated","P21329","RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)",2.25e-33
"Moderate","g15610",8.81332891432482,0.137315872245299,0.0155804774314177,"DEG","Up-regulated",NA,NA,NA
"Moderate","g16129",10.6447829266334,0.210014370497821,0.0197293239275328,"DEG","Up-regulated",NA,NA,NA
"Moderate","g16210",8.30468005495722,0.163466475853754,0.0196836572597613,"DEG","Up-regulated",NA,NA,NA
"Moderate","g1627",12.4610362759673,0.215816715649577,0.0173193232785789,"DEG","Up-regulated",NA,NA,NA
"Moderate","g16504",10.3330414154674,0.174704841823872,0.0169073978124541,"DEG","Up-regulated",NA,NA,NA
"Moderate","g16505",10.4360975914113,0.162601793628651,0.0155807084213614,"DEG","Up-regulated",NA,NA,NA
"Moderate","g16512",8.71073654157789,0.13710595998557,0.0157398813901832,"DEG","Up-regulated",NA,NA,NA
"Moderate","g16594",8.23201406210524,0.155105049194211,0.0188416890476672,"DEG","Up-regulated",NA,NA,NA
"Moderate","g17239",11.8257894546268,0.153271430125033,0.0129607778586879,"DEG","Up-regulated",NA,NA,NA
"Moderate","g17363",11.6734869233647,0.209476866573176,0.0179446696559795,"DEG","Up-regulated",NA,NA,NA
"Moderate","g17511",11.2646770677354,0.216870879202222,0.0192522943976254,"DEG","Up-regulated",NA,NA,NA
"Moderate","g17601",10.904474863901,0.206647399445132,0.0189506970325764,"DEG","Up-regulated",NA,NA,NA
