geneID	Amb_vs_Mod_log2FoldChange	Amb_vs_Mod_padj	Amb_vs_Low_log2FoldChange	Amb_vs_Low_padj	Mod_vs_Low_log2FoldChange	Mod_vs_Low_padj
evm.TU.HiC_scaffold_97.1	0.1658920243281622	0.7756498449324923	-0.046694813124708405	0.948164189356137	-0.21258683745287058	NA
evm.TU.HiC_scaffold_42.1	0.18534630040287278	0.313138071435818	0.2747007349429064	0.086705900284973	0.08935443454003361	0.9955026998753188
evm.TU.HiC_scaffold_22.2	0.7023537731165493	0.07153369316982702	0.29330561854575427	0.5073977944251183	-0.4090481545707951	0.8871785866729134
evm.TU.HiC_scaffold_29.1	-0.09212926121978783	0.6603082394572503	-0.127431921057601	0.514773169319489	-0.03530265983781318	0.9998215646025037
evm.TU.HiC_scaffold_28.2	-0.3555047059960471	0.5617892417715501	-0.1233231042708288	0.8721961258093449	0.2321816017252183	NA
evm.TU.HiC_scaffold_50.1	0.12823730659138063	0.35793865764349175	0.11686721763414783	0.3946512944382973	-0.011370088957232793	0.9998215646025037
evm.TU.HiC_scaffold_50.2	-0.10258593497772071	0.7776694070391126	-0.3970325284034454	0.13784702669940072	-0.29444659342572466	0.8825817670936015
evm.TU.HiC_scaffold_92.1	0.5127898062180501	0.18231463627407496	0.6172950950275561	0.07572684024823657	0.10450528880950594	0.9998215646025037
evm.TU.HiC_scaffold_92.2	-0.14701715346540442	0.3507328544868498	-0.020920206633317857	0.9268540216612617	0.12609694683208655	0.9426585928777035
evm.TU.HiC_scaffold_92.3	0.5107335512990495	0.357623366413196	0.8058228106309365	0.09102452925608051	0.2950892593318869	0.9879293796456813
evm.TU.HiC_scaffold_103.1	0.09150036105537422	0.8585532961449508	-0.2038783866747723	0.6472214865148793	-0.29537874773014644	0.9509320923016251
evm.TU.HiC_scaffold_102.1	-0.0064650945144922	0.9851866807628685	0.014451193353061529	0.9645271893378967	0.020916287867553725	0.9998215646025037
evm.TU.HiC_scaffold_29.2	0.5260593926822434	0.013805758208507041	0.4953482516133452	0.008834477904850226	-0.03071114106889823	0.9998215646025037
evm.TU.HiC_scaffold_29.3	-0.25474883591418473	0.5596183898834771	-0.033787653846656975	0.9556845667571586	0.22096118206752774	0.9850977466508324
evm.TU.HiC_scaffold_29.4	-0.5671485384330843	0.2496272415917309	-0.29729641818136393	0.5975522034337812	0.2698521202517204	0.9879293796456813
evm.TU.HiC_scaffold_78.1	-0.2933577504945509	0.0682862058151323	-0.22097610649868415	0.15807385415627398	0.07238164399586669	0.9981608990131571
evm.TU.HiC_scaffold_78.2	-0.022487905617053595	0.868066828473881	-0.0545103539599365	0.6407292153909894	-0.032022448342882905	0.9998215646025037
evm.TU.HiC_scaffold_58.1	-0.08314349438013255	0.8561692673016374	-0.30822384022238897	0.3741462718511582	-0.22508034584225642	NA
evm.TU.HiC_scaffold_89.1	0.03767777273712351	0.6425337150360955	0.048236157564818284	0.5290621687230875	0.01055838482769477	0.9998215646025037
evm.TU.HiC_scaffold_89.2	0.09909475761396594	0.7171625241445901	0.1387619750180227	0.5871013564084534	0.03966721740405675	0.9998215646025037
evm.TU.HiC_scaffold_89.3	-0.04951491473994804	0.6953313036812963	-0.04569694667805048	0.726133414663372	0.0038179680618975562	0.9998215646025037
evm.TU.HiC_scaffold_50.3	0.13757392746421895	0.4990468850736462	0.06630496991693863	0.7796339135141963	-0.07126895754728033	0.9981608990131571
evm.TU.HiC_scaffold_50.4	0.8651719888834759	0.06624027153406338	1.1768239731076728	0.00444019051801204	0.3116519842241969	0.9784568233418413
evm.TU.HiC_scaffold_50.5	-0.39348534140699554	0.2607230192387115	-0.33584559625819405	0.3399014468237313	0.0576397451488015	0.9998215646025037
