Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Tank_10_Crab_1_R1	Tank_10_Crab_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73925802.0	0.0	101.0	45.0	33.15002579991503	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
Tank_10_Crab_1_R2	Tank_10_Crab_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73925802.0	0.0	101.0	45.0	38.41742188371358	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Tank_10_Crab_2_R1	Tank_10_Crab_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61795018.0	0.0	101.0	47.0	21.7760555184334	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	warn
Tank_10_Crab_2_R2	Tank_10_Crab_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61795018.0	0.0	101.0	47.0	28.547548429565456	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	warn
Tank_10_Crab_3_R1	Tank_10_Crab_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69618609.0	0.0	101.0	46.0	35.32718740874168	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
Tank_10_Crab_3_R2	Tank_10_Crab_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69618609.0	0.0	101.0	46.0	40.655912604251206	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Tank_11_Crab_1_R1	Tank_11_Crab_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55464891.0	0.0	101.0	45.0	40.19029776905227	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
Tank_11_Crab_1_R2	Tank_11_Crab_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55464891.0	0.0	101.0	45.0	44.422553252798615	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Tank_11_Crab_2_R1	Tank_11_Crab_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64142291.0	0.0	101.0	46.0	37.21702630188104	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
Tank_11_Crab_2_R2	Tank_11_Crab_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64142291.0	0.0	101.0	46.0	42.43531011435951	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
Tank_11_Crab_3_R1	Tank_11_Crab_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83542559.0	0.0	101.0	45.0	34.14629282182764	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
Tank_11_Crab_3_R2	Tank_11_Crab_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83542559.0	0.0	101.0	45.0	39.057813508289115	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Tank_13_Crab_1_R1	Tank_13_Crab_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81287077.0	0.0	101.0	45.0	34.34045365035999	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Tank_13_Crab_1_R2	Tank_13_Crab_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81287077.0	0.0	101.0	45.0	39.72403326052035	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
Tank_13_Crab_2_R1	Tank_13_Crab_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78643541.0	0.0	101.0	44.0	36.815665252107244	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
Tank_13_Crab_2_R2	Tank_13_Crab_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	78643541.0	0.0	101.0	44.0	41.95029233953638	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
Tank_13_Crab_3_R1	Tank_13_Crab_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	71824919.0	0.0	101.0	45.0	35.13946370669774	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	pass	pass
