Module	Section	Sample Name	Source
FastQC	all_sections	Tank_11_Crab_1_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_11_Crab_1_R1_fastqc.zip
FastQC	all_sections	Tank_11_Crab_1_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_11_Crab_1_R2_fastqc.zip
FastQC	all_sections	Tank_10_Crab_2_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_10_Crab_2_R2_fastqc.zip
FastQC	all_sections	Tank_10_Crab_2_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_10_Crab_2_R1_fastqc.zip
FastQC	all_sections	Tank_10_Crab_3_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_10_Crab_3_R2_fastqc.zip
FastQC	all_sections	Tank_10_Crab_3_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_10_Crab_3_R1_fastqc.zip
FastQC	all_sections	Tank_10_Crab_1_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_10_Crab_1_R1_fastqc.zip
FastQC	all_sections	Tank_10_Crab_1_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_10_Crab_1_R2_fastqc.zip
FastQC	all_sections	Tank_11_Crab_2_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_11_Crab_2_R1_fastqc.zip
FastQC	all_sections	Tank_11_Crab_2_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_11_Crab_2_R2_fastqc.zip
FastQC	all_sections	Tank_11_Crab_3_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_11_Crab_3_R1_fastqc.zip
FastQC	all_sections	Tank_11_Crab_3_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_11_Crab_3_R2_fastqc.zip
FastQC	all_sections	Tank_13_Crab_2_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_13_Crab_2_R1_fastqc.zip
FastQC	all_sections	Tank_13_Crab_1_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_13_Crab_1_R1_fastqc.zip
FastQC	all_sections	Tank_13_Crab_1_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_13_Crab_1_R2_fastqc.zip
FastQC	all_sections	Tank_13_Crab_2_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_13_Crab_2_R2_fastqc.zip
FastQC	all_sections	Tank_13_Crab_3_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_13_Crab_3_R1_fastqc.zip
FastQC	all_sections	Tank_13_Crab_3_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_13_Crab_3_R2_fastqc.zip
FastQC	all_sections	Tank_15_Crab_1_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_15_Crab_1_R1_fastqc.zip
FastQC	all_sections	Tank_15_Crab_2_R1	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_15_Crab_2_R1_fastqc.zip
FastQC	all_sections	Tank_15_Crab_1_R2	/home/lspencer/2022-redking-OA/fastqc/concat/Tank_15_Crab_1_R2_fastqc.zip
