Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	0.00E+00	0	5.00E-01	"CDKN1B,EDC3,GSK3B,MAP2K4,MRAS,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,RASD2,STK11,TSC2,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2B,TUBB4A,TUBG1,YWHAB,YWHAE"
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.00E+00		4.00E-01	"INPP5F,OCRL"
3-phosphoinositide Biosynthesis	0.00E+00	0	4.20E-01	"ALPL,ENTPD6,FIG4,IGBP1,INPP5F,OCRL,PGAM5,PI4K2A,PIK3C2B,PIK3CA,PIP4K2A,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PPP4R1,PPP5C,PRUNE1,PSPH,PTEN,PTPA,PTPN1,PTPRF,PTPRN,RNGTT,SACM1L,SET,SSH3,WBP11"
3-phosphoinositide Degradation	0.00E+00	-0.2	4.25E-01	"ALPL,ENTPD6,FIG4,IGBP1,INPP4A,INPP5F,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PPP4R1,PPP5C,PRUNE1,PSPH,PTEN,PTPA,PTPN1,PTPRF,PTPRN,RNGTT,SACM1L,SET,SSH3,WBP11"
4-1BB Signaling in T Lymphocytes	0.00E+00		2.22E-01	"MAP2K4,NFKB1"
AMPK Signaling	0.00E+00	-0.755928946	5.00E-01	"ACACA,AK1,CCNA2,CHRNA10,CHRNA7,CHRNB2,CKM,CPT1A,CPT2,EEF2,EEF2K,EP300,FASN,FOXO6,GNA11,GNB5,GYS2,MLST8,MRAS,ORAI2,PBRM1,PIK3C2B,PIK3CA,PPM1E,PPM1G,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PRKAB2,PRKAG1,PRKAR1A,PRKAR2A,PTPA,RAB6A,RAB7A,RPS6KB1,SLC2A1,SMARCA4,SMARCB1,SMARCC1,SMARCD1,STK11,TSC2"
Acetone Degradation I (to Methylglyoxal)	0.00E+00		4.17E-01	"AKR1B10,CYP2U1,CYP3A5,CYP4B1,PTGR1"
Actin Cytoskeleton Signaling	0.00E+00	2.116950987	4.07E-01	"ACTG1,Actn3,ACTR2,APC,ARHGEF1,ARPC1B,ARPC2,ARPC3,ARPC4,CSK,DOCK1,EZR,FGF20,FLNA,IQGAP1,ITGAV,ITGB1,MRAS,MYH10,MYH11,MYL1,MYL9,MYO18A,MYO1H,NCKAP1,PAK1,PIK3C2B,PIK3CA,RASD2,SOS1,SSH3,TIAM1,TLN1,TTN,WAS"
Actin Nucleation by ARP-WASP Complex	0.00E+00	2.529822128	4.12E-01	"ACTR2,ARPC1B,ARPC2,ARPC3,ARPC4,Cdc42,ITGAV,ITGB1,MRAS,RASD2,RHOBTB2,RHOC,SOS1,WAS"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0.00E+00	0	5.00E-01	"MAP2K4,NFKB1,PPIB,TBK1"
Acute Myeloid Leukemia Signaling	0.00E+00	-0.333333333	3.94E-01	"IDH1,IDH3B,IDH3G,MAP2K4,MRAS,NFKB1,PIK3C2B,PIK3CA,RASD2,RPS6KB1,SOS1,STAT5A,TCF7L1"
