© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.brown
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.brown
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446106

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.brown
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	-0E00	0.0	5.00E-01	CDKN1B,EDC3,GSK3B,MAP2K4,MRAS,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,RASD2,STK11,TSC2,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2B,TUBB4A,TUBG1,YWHAB,YWHAE	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	-0E00		4.00E-01	INPP5F,OCRL	
3-phosphoinositide Biosynthesis	-0E00	0.0	4.20E-01	ALPL,ENTPD6,FIG4,IGBP1,INPP5F,OCRL,PGAM5,PI4K2A,PIK3C2B,PIK3CA,PIP4K2A,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PPP4R1,PPP5C,PRUNE1,PSPH,PTEN,PTPA,PTPN1,PTPRF,PTPRN,RNGTT,SACM1L,SET,SSH3,WBP11	
3-phosphoinositide Degradation	-0E00	-0.2	4.25E-01	ALPL,ENTPD6,FIG4,IGBP1,INPP4A,INPP5F,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP1R13B,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PPP4R1,PPP5C,PRUNE1,PSPH,PTEN,PTPA,PTPN1,PTPRF,PTPRN,RNGTT,SACM1L,SET,SSH3,WBP11	
4-1BB Signaling in T Lymphocytes	-0E00		2.22E-01	MAP2K4,NFKB1	
AMPK Signaling	-0E00	-0.7559289460184544	5.00E-01	ACACA,AK1,CCNA2,CHRNA10,CHRNA7,CHRNB2,CKM,CPT1A,CPT2,EEF2,EEF2K,EP300,FASN,FOXO6,GNA11,GNB5,GYS2,MLST8,MRAS,ORAI2,PBRM1,PIK3C2B,PIK3CA,PPM1E,PPM1G,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PRKAB2,PRKAG1,PRKAR1A,PRKAR2A,PTPA,RAB6A,RAB7A,RPS6KB1,SLC2A1,SMARCA4,SMARCB1,SMARCC1,SMARCD1,STK11,TSC2	
Acetone Degradation I (to Methylglyoxal)	-0E00		4.17E-01	AKR1B10,CYP2U1,CYP3A5,CYP4B1,PTGR1	
Actin Cytoskeleton Signaling	-0E00	2.116950987028628	4.07E-01	ACTG1,Actn3,ACTR2,APC,ARHGEF1,ARPC1B,ARPC2,ARPC3,ARPC4,CSK,DOCK1,EZR,FGF20,FLNA,IQGAP1,ITGAV,ITGB1,MRAS,MYH10,MYH11,MYL1,MYL9,MYO18A,MYO1H,NCKAP1,PAK1,PIK3C2B,PIK3CA,RASD2,SOS1,SSH3,TIAM1,TLN1,TTN,WAS	
Actin Nucleation by ARP-WASP Complex	-0E00	2.5298221281347035	4.12E-01	ACTR2,ARPC1B,ARPC2,ARPC3,ARPC4,Cdc42,ITGAV,ITGB1,MRAS,RASD2,RHOBTB2,RHOC,SOS1,WAS	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	0.0	5.00E-01	MAP2K4,NFKB1,PPIB,TBK1	
Acute Myeloid Leukemia Signaling	-0E00	-0.3333333333333333	3.94E-01	IDH1,IDH3B,IDH3G,MAP2K4,MRAS,NFKB1,PIK3C2B,PIK3CA,RASD2,RPS6KB1,SOS1,STAT5A,TCF7L1	
Acute Phase Response Signaling	-0E00	1.7320508075688774	4.17E-01	A2M,ECSIT,ITIH3,KLKB1,MAP2K4,MRAS,NFKB1,PDPK1,PIK3CA,PLG,RASD2,SOCS7,SOD2,SOS1,TAB1	
Acyl-CoA Hydrolysis	-0E00		5.00E-01	ACOT4,PPT1	
Adenosine Nucleotides Degradation II	-0E00		5.00E-01	ADA,ADA2,ADARB2,PNP	
Adipogenesis pathway	-0E00		4.55E-01	ARNTL,CCNH,CDK7,CLOCK,EBF1,ERCC2,EZH2,FGFR3,FZD8,GTF2H3,HDAC2,HDAC6,HDAC7,HIF1A,KAT6B,LPIN1,NR1D1,NR2F2,PPIP5K1,RBBP7,RPS6KB1,SIN3B,SMAD1,SMAD9,SREBF1	
Adrenomedullin signaling pathway	-0E00	-2.9211869733608857	4.12E-01	ADCY1,ADCY9,CALCRL,CALM1 (includes others),CSK,CTH,GNA11,GSK3B,GUCY1A1,GUCY2C,GUCY2D,GUCY2F,Gucy2g,HIF1A,KCNN2,MAP2K4,MRAS,NFKB1,NPR1,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,PRKAG1,PRKAR1A,PRKAR2A,RASD2,RXRA,SHC2,SOS1,TTN	
Agranulocyte Adhesion and Diapedesis	-0E00		3.75E-01	ACTG1,EZR,ITGB1,MYH10,MYH11,MYL1,MYL9,MYO18A,MYO1H	
Agrin Interactions at Neuromuscular Junction	-0E00	0.3779644730092272	3.57E-01	ACTG1,AGRN,EGFR,ITGB1,LAMC1,MAP2K4,MRAS,PAK1,RASD2,UTRN	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00		4.00E-01	APOD,FGF20	
Aldosterone Signaling in Epithelial Cells	-0E00	-1.0	3.68E-01	CRYAB,DNAJB9,DNAJC11,DNAJC12,DNAJC13,DNAJC14,DNAJC19,DNAJC2,DNAJC7,HSP90B1,HSPA12A,HSPA12B,HSPA4,HSPD1,KCNMA1,ODF1,PDPK1,PIK3C2B,PIK3CA,PIP4K2A,PLCB1,PLCB4,PLCD3,PLCL2,Sacs,SACS,SOS1,TRAP1	
All-trans-decaprenyl Diphosphate Biosynthesis	-0E00		5.00E-01	PDSS2	
Amyloid Processing	-0E00		3.75E-01	APP,BACE1,CAPN2,CSNK2B,GSK3B,MARK1,PRKAG1,PRKAR1A,PRKAR2A	
Angiopoietin Signaling	-0E00	0.7071067811865475	3.55E-01	ANGPT1,ANGPT4,MRAS,NFKB1,PAK1,PIK3C2B,PIK3CA,RASD2,SOS1,STAT5A,TIE1	
Antioxidant Action of Vitamin C	-0E00	1.6666666666666667	4.71E-01	GSTO1,MAP2K4,NFKB1,PLAAT4,PLCB1,PLCB4,PLCD3,PLCL2,PLD1,PRDX6,SELENOT,SLC23A1,SLC2A1,SLC2A8,STAT5A,TXNRD3	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	0.4472135954999579	4.00E-01	CDKN1B,CTH,GNB5,GUCY1A1,GUCY2C,GUCY2D,GUCY2F,Gucy2g,MRAS,NOS1,NPR1,PIK3C2B,PIK3CA,RASD2	
Apelin Adipocyte Signaling Pathway	-0E00	1.4142135623730951	5.14E-01	ADCY1,ADCY9,CAT,GNA11,GPX1,GPX2,GPX4,GPX7,GSTK1,GSTT1,GUCY1A1,HIF1A,MGST3,NCF2,PRDX6,PRKAB2,PRKAG1,PRKAR1A,PRKAR2A	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00		5.00E-01	PRKAB2,PRKAG1	
Apelin Cardiomyocyte Signaling Pathway	-0E00	0.0	3.59E-01	ATP2A1,CAT,GNA11,HIF1A,MYL1,MYL9,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,SLC8A1,SLC8A2	
Apelin Endothelial Signaling Pathway	-0E00	-0.7276068751089989	3.92E-01	ADCY1,ADCY9,ANGPT1,CALM1 (includes others),GNA11,GNB5,GUCY1A1,HIF1A,MAP2K4,MEF2C,MRAS,NFKB1,PIK3C2B,PIK3CA,PLCB1,PLCB4,PRKAB2,PRKAG1,RASD2,RPS6KB1	
Apelin Muscle Signaling Pathway	-0E00		3.85E-01	GNA11,GNB5,MRAS,PRKAB2,PRKAG1	
Apelin Pancreas Signaling Pathway	-0E00	0.3333333333333333	4.50E-01	EIF2AK3,MAP2K4,NFKB1,PIK3C2B,PIK3CA,PRKAB2,PRKAG1,PRKAR1A,PRKAR2A	
Apoptosis Signaling	-0E00	0.8320502943378437	3.95E-01	ACIN1,AIFM1,BIRC6,CAPN2,CASP10,CASP2,CDK1,CYC1,ENDOG,MAP2K4,MRAS,NFKB1,PARP1,RASD2,SPTAN1	
April Mediated Signaling	-0E00		2.00E-01	MAP2K4,NFKB1	
Atherosclerosis Signaling	-0E00		4.29E-01	APOD,COL11A2,COL2A1,NFKB1,PLAAT4,PRDX6	
Autoimmune Thyroid Disease Signaling	-0E00		3.33E-01	TPO	
Autophagy	-0E00	-1.3333333333333333	4.74E-01	ATG101,ATG14,BIRC6,CALM1 (includes others),CDKN1B,EIF2A,EIF2AK3,EPG5,GSK3B,HIF1A,MAP1LC3A,MAP2K4,MLST8,NFKB1,PI4K2A,PIK3C2B,PIK3CA,PPP2CA,PPP2R1A,PPP2R2A,PPP2R3A,PPP2R5E,PRKAB2,PRKAG1,PRKAR1A,PRKAR2A,PTEN,PTPA,RAB7A,SLC7A5,STK11,TBK1,TSC2,VPS33A,VPS41,WIPI2	
Axonal Guidance Signaling	-0E00		4.32E-01	ACE,ACTR2,ADAM10,ADAM15,ADAMTS6,ARPC1B,ARPC2,ARPC3,ARPC4,CHMP1A,COPS5,DOCK1,ECE2,EIF3F,EIF3H,EPHB1,FARP2,FZD8,GLI2,GNA11,GNB5,GSK3B,HERC2,ITGAV,ITGB1,ITSN1,KCNJ12,MRAS,MYL1,MYL9,PAK1,PIK3C2B,PIK3CA,PLCB1,PLCB4,PLCD3,PLCL2,PLXNA2,PLXNB1,PMPCA,PMPCB,PRKAG1,PRKAR1A,PRKAR2A,PSMD14,PTCH1,RASD2,ROBO1,ROBO2,SDCBP,SEMA6B,SEMA6C,SEMA6D,SLIT2,SLIT3,SOS1,SUFU,TUBA1A,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA3E,TUBA4A,TUBB2B,TUBB4A,TUBG1,WAS,WNT4,WNT5B,WNT9A	
B Cell Activating Factor Signaling	-0E00		2.00E-01	MAP2K4,NFKB1	
