Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	0.00E+00	0.852802865	2.96E-01	"ALPL,ENPP1,FIG4,INPP5F,OCRL,PGAM5,PI4KA,PIP4K2A,PIP5K1C,PPP1CC,PPP1R7,PPP2R2A,PPP2R3A,PPP3CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTEN,PTPN13,SACM1L,SET,SSH3,WBP11"
3-phosphoinositide Degradation	0.00E+00	1.147078669	2.88E-01	"ALPL,ENPP1,FIG4,INPP5F,OCRL,PGAM5,PPP1CC,PPP1R7,PPP2R2A,PPP2R3A,PPP3CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTEN,PTPN13,SACM1L,SET,SSH3,WBP11"
4-1BB Signaling in T Lymphocytes	0.00E+00		1.11E-01	MAP2K1
4-aminobutyrate Degradation I	0.00E+00		3.33E-01	SUCLG2
5-aminoimidazole Ribonucleotide Biosynthesis I	0.00E+00		3.33E-01	PPAT
AMPK Signaling	0.00E+00	-0.774596669	3.22E-01	"AK1,CCNA2,CHRNA7,CHRNA9,CHRNB2,CKM,CPT1A,EEF2,FOXO6,GNA11,MLST8,MRAS,ORAI2,PBRM1,PPAT,PPM1E,PPM1G,PPP2R2A,PPP2R3A,PRKAB2,PRKAR1A,PRKAR2A,PRKAR2B,SIRT1,SMARCA4,SMARCB1,SMARCD1,SMARCE1,TSC2"
ATM Signaling	0.00E+00	0.277350098	3.59E-01	"CBX1,CCNB2,CCNB3,CDK1,CHEK1,FANCD2,HERC2,PPP1CC,PPP2R2A,PPP2R3A,SMC1A,SMC2,TOPBP1,USP7"
Acetone Degradation I (to Methylglyoxal)	0.00E+00		8.33E-02	PTGR1
Actin Cytoskeleton Signaling	0.00E+00	2.2	3.60E-01	"ACTC1,ACTG1,ARHGAP35,ARPC1B,ARPC3,ARPC4,BAIAP2,DIAPH1,FLNA,ITGA8,ITGAV,MAP2K1,MPRIP,MRAS,MYH10,MYH11,MYH4,MYH6,MYH7,MYL1,MYL9,MYO18A,MYO1H,PAK1,PIP5K1C,RAP1A,RASD2,SOS1,SSH3,TLN1,TRIO"
Actin Nucleation by ARP-WASP Complex	0.00E+00	0.707106781	3.53E-01	"ARPC1B,ARPC3,ARPC4,BAIAP2,Cdc42,ITGA8,ITGAV,MRAS,RAP1A,RASD2,RHOC,SOS1"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0.00E+00		1.25E-01	PPIB
Acute Myeloid Leukemia Signaling	0.00E+00	0.816496581	3.33E-01	"IDH1,IDH3B,IDH3G,JUP,MAP2K1,MAP2K6,MRAS,RAP1A,RASD2,SOS1,STAT5B"
Acute Phase Response Signaling	0.00E+00	1.414213562	2.78E-01	"ECSIT,KLKB1,MAP2K1,MAP2K6,MRAS,RAP1A,RASD2,SOD2,SOS1,TAB1"
Adipogenesis pathway	0.00E+00		3.82E-01	"CCNH,EBF1,ERCC2,FBXW7,FGFR1,FGFRL1,FZD4,GTF2H2,GTF2H3,GTF2H4,HAT1,HDAC2,HDAC7,KAT2A,NR1D1,RBBP7,RPS6KC1,SIN3B,SIRT1,STAT5B,ZNF423"
Adrenomedullin signaling pathway	0.00E+00	-2.267786838	3.88E-01	"ADCY1,ADCY8,CALCRL,CALM1 (includes others),CTH,GAD1,GNA11,GSK3B,GUCY1A1,GUCY2C,Gucy2d,GUCY2D,Gucy2g,MAP2K1,MAP2K6,MRAS,NPR1,NPR2,PLCB1,PLCB3,PLCD3,PLCG1,PLCZ1,PRKAR1A,PRKAR2A,PRKAR2B,PRKG1,RAP1A,RASD2,RXRA,SOS1"
Agrin Interactions at Neuromuscular Junction	0.00E+00	0.377964473	3.21E-01	"ACTC1,ACTG1,AGRN,EGFR,MRAS,PAK1,RAP1A,RASD2,UTRN"
