© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p1 - 2022-04-11 02:49 PM - LFC, User Dataset->Amb_vs_Low
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	Amb_vs_Low
Date	Mon Apr 11 14:50:28 PDT 2022
Analysis ID	39401804

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p1 - 2022-04-11 02:49 PM - LFC, User Dataset->Amb_vs_Low
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00		5.06E-02	ALPL,ENTPD6,NUDT11,PTPA	
3-phosphoinositide Degradation	-0E00		5.63E-02	ALPL,ENTPD6,NUDT11,PTPA	
AMPK Signaling	-0E00	0.0	1.11E-01	CCNA2,CCND1,CHRNA7,CKM,EP300,MLST8,MRAS,ORAI2,PBRM1,PTPA	
ATM Signaling	-0E00	0.0	1.03E-01	CCNB3,CDK1,PTPA,SMC2	
Actin Cytoskeleton Signaling	-0E00	2.3333333333333335	1.28E-01	ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4,ITGA8,ITGB2,MRAS,PAK1,SOS1,VCL	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00		1.25E-01	PPIB	
Acute Phase Response Signaling	-0E00	1.0	1.11E-01	A2M,MRAS,SOD2,SOS1	
Adipogenesis pathway	-0E00		1.27E-01	CCNH,EBF1,FGFR1,GTF2H4,HDAC2,HDAC7,SIN3B	
Adrenomedullin signaling pathway	-0E00	0.0	1.38E-01	ADCY1,CALM1 (includes others),CTH,GUCY1B1,GUCY2C,Gucy2d,KCNN2,MRAS,NPR1,PLCZ1,SOS1	
Agranulocyte Adhesion and Diapedesis	-0E00		1.25E-01	ACTC1,ACTG1,ITGB2	
Aldosterone Signaling in Epithelial Cells	-0E00		2.63E-02	PLCZ1,SOS1	
Amyloid Processing	-0E00		4.17E-02	CSNK2B	
