Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	0.00E+00		2.40E-01	"MRAS,PLCD3,PLCG1,PLCZ1,RASD2,TSC2,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A"
3-phosphoinositide Biosynthesis	0.00E+00		1.23E-01	"ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PI4K2A,PTPA,PTPN11,RASA1,RNGTT"
3-phosphoinositide Degradation	0.00E+00		1.37E-01	"ALPL,ENTPD6,INPP5F,MTMR3,NUDT11,OCRL,PTPA,PTPN11,RASA1,RNGTT"
AMPK Signaling	0.00E+00		2.00E-01	"CCNA2,CCND1,CHRNA7,CHRNA9,CHRNB2,CKM,EEF2K,GYS2,MLST8,MRAS,ORAI2,PBRM1,PPAT,PPM1E,PRKAB2,PTPA,SMARCA4,TSC2"
ATM Signaling	0.00E+00		2.31E-01	"CCNB2,CCNB3,CDK1,HERC2,KAT5,PTPA,RAD50,RAD51,SMC2"
Acetone Degradation I (to Methylglyoxal)	0.00E+00		2.50E-01	"CYP2A6 (includes others),CYP2U1,CYP4B1"
Actin Cytoskeleton Signaling	0.00E+00		2.21E-01	"ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4,FGF20,FGF6,FLNA,ITGA2B,ITGA8,MRAS,MYL1,MYL9,MYO1H,PAK1,RASD2,SOS1,TLN1,VCL"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0.00E+00		1.25E-01	PPIB
Acute Phase Response Signaling	0.00E+00		1.94E-01	"A2M,MRAS,PLG,PTPN11,RASD2,SOD2,SOS1"
Acyl-CoA Hydrolysis	0.00E+00		2.50E-01	PPT1
Adipogenesis pathway	0.00E+00		1.64E-01	"CCNH,EBF1,FGFR1,FGFRL1,GTF2H4,HDAC2,HDAC7,RBBP7,SIN3B"
Adrenomedullin signaling pathway	0.00E+00		2.50E-01	"ADCY1,BRAF,CALM1 (includes others),CTH,GUCY1B1,GUCY2C,GUCY2D,Gucy2d,GUCY2F,KCNN2,MRAS,NPR1,NPR2,PLCD3,PLCG1,PLCZ1,PRKG1,RASD2,SHC2,SOS1"
Agranulocyte Adhesion and Diapedesis	0.00E+00		2.50E-01	"ACTC1,ACTG1,MMP17,MYL1,MYL9,MYO1H"
Aldosterone Signaling in Epithelial Cells	0.00E+00		1.58E-01	"AHCY,CRYAB,DNAJC13,DNAJC27,DNAJC3,HSPA8,ODF1,PLCD3,PLCG1,PLCZ1,SOS1,TRAP1"
Amyloid Processing	0.00E+00		1.25E-01	"CAPN3,CAPN7,CSNK2B"
Androgen Signaling	0.00E+00		1.86E-01	"CACNA1A,CACNA1G,CALM1 (includes others),CCND1,CCNH,GTF2H4,MRAS,POLR2B,POLR2C,TAF2,TBP"
Antioxidant Action of Vitamin C	0.00E+00		1.76E-01	"PLAAT4,PLCD3,PLCG1,PLCZ1,PLD1,PRDX6"
Apelin Adipocyte Signaling Pathway	0.00E+00		2.43E-01	"ADCY1,CAT,GPX1,GPX2,GPX4,GUCY1B1,MGST3,PRDX6,PRKAB2"
Apelin Cardiac Fibroblast Signaling Pathway	0.00E+00		2.50E-01	PRKAB2
Apelin Cardiomyocyte Signaling Pathway	0.00E+00		2.05E-01	"ATP2A1,CAT,MYL1,MYL9,PLCD3,PLCG1,PLCZ1,SLC8A2"
Apelin Endothelial Signaling Pathway	0.00E+00		1.57E-01	"ADCY1,ANGPT1,CALM1 (includes others),GUCY1B1,MRAS,PRKAB2,RASD2,RPS6KB2"
Apelin Liver Signaling Pathway	0.00E+00		1.67E-01	COL2A1
Apelin Muscle Signaling Pathway	0.00E+00		1.54E-01	"MRAS,PRKAB2"
Apelin Pancreas Signaling Pathway	0.00E+00		5.00E-02	PRKAB2
Assembly of RNA Polymerase I Complex	0.00E+00		2.00E-01	TBP
Assembly of RNA Polymerase II Complex	0.00E+00		2.40E-01	"CCNH,GTF2H4,POLR2B,POLR2C,TAF2,TBP"
Atherosclerosis Signaling	0.00E+00		2.14E-01	"COL2A1,PLAAT4,PRDX6"
Autophagy	0.00E+00		1.32E-01	"CALM1 (includes others),EIF2A,GORASP2,KAT5,MLST8,PI4K2A,PRKAB2,PTPA,SLC7A5,TSC2"
Axonal Guidance Signaling	0.00E+00		2.22E-01	"ARPC1B,ARPC3,ARPC4,DCC,ECE2,EIF3F,EIF3H,EPHB1,HERC2,ITGA2B,ITGA8,MMP17,MRAS,MYL1,MYL9,NTN1,PAK1,PLCD3,PLCG1,PLCZ1,PMPCB,PTPN11,RASA1,RASD2,ROBO1,ROBO2,SLIT2,SOS1,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A,UNC5C,WNT4"
B Cell Receptor Signaling	0.00E+00		1.97E-01	"BCL6,CALM1 (includes others),CAMK2D,CD22,EBF1,ETS1,INPP5F,MRAS,OCRL,PTPN11,RASD2,RPS6KB2,SOS1"
BAG2 Signaling Pathway	0.00E+00		2.22E-01	"CHRNA7,HSPA8,PRKN,PSMA1,PSMA2,PSMA6,PSMB10,PSMC2,PSMC4,PSME4"
BEX2 Signaling Pathway	0.00E+00		1.50E-01	"CCND1,PTPA,TSC2"
BMP signaling pathway	0.00E+00		9.68E-02	"MRAS,RASD2,SOS1"
Basal Cell Carcinoma Signaling	0.00E+00		4.17E-02	WNT4
Breast Cancer Regulation by Stathmin1	0.00E+00		1.88E-01	"AURKB,CAMK2D,CCKAR,CCND1,CDK1,FSHR,GABBR2,GPR84,GRM6,HTR1A,HTR7,LHCGR,MRAS,NPY5R,PAK1,PTPA,RASD2,RXFP2,SHC2,SOS1,SPDEF,TACR2,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A"
CCR3 Signaling in Eosinophils	0.00E+00		9.30E-02	"CALM1 (includes others),MRAS,PAK1,RASD2"
CCR5 Signaling in Macrophages	0.00E+00		2.00E-01	"CACNA1A,CACNA1G,CALM1 (includes others),MRAS,PLCG1"
CD27 Signaling in Lymphocytes	0.00E+00		5.26E-02	CYC1
CD28 Signaling in T Helper Cells	0.00E+00		1.79E-01	"ARPC1B,ARPC3,ARPC4,CALM1 (includes others),PAK1,PLCG1,PTPN11"
CDC42 Signaling	0.00E+00		2.44E-01	"ARPC1B,ARPC3,ARPC4,EXOC3,EXOC8,ITGA2B,ITGA8,MYL1,MYL9,PAK1,RASA1"
CDK5 Signaling	0.00E+00		1.46E-01	"ADCY1,CACNA1A,GUCY1B1,LAMC1,MRAS,PTPA,RASD2"
CDP-diacylglycerol Biosynthesis I	0.00E+00		8.33E-02	MBOAT1
CLEAR Signaling Pathway	0.00E+00		2.14E-01	"ATP6V1B1,ATP6V1F,ATP6V1G2,ATP6V1H,CTSF,EGFR,FGFR1,GBA,GLB1,GUSB,HEXB,MLST8,MRAS,NPRL3,PLCG1,PRKAB2,PRKN,PTPA,RASD2,SLC36A1,SUMF1,TGFBR1,TSC2,WDR59"
CNTF Signaling	0.00E+00		2.38E-01	"MRAS,PTPN11,RASD2,RPS6KB2,SOS1"
CREB Signaling in Neurons	0.00E+00		2.30E-01	"ADCY1,CACNA1A,CACNA1G,CALM1 (includes others),CAMK2D,CCKAR,EGFR,FGFR1,FSHR,GABBR2,GPR84,GRIA2,GRIA3,GRIA4,GRID1,GRID2,GRIK1,GRIK2,GRIN2D,GRM6,GUCY1B1,HTR1A,HTR7,LHCGR,MRAS,NPY5R,PLCD3,PLCG1,PLCZ1,POLR2B,POLR2C,RASD2,RXFP2,SHC2,SOS1,TACR2,TBP,TGFBR1"
CSDE1 Signaling Pathway	0.00E+00		9.52E-02	"PIWIL1,RPL9"
CTLA4 Signaling in Cytotoxic T Lymphocytes	0.00E+00		1.43E-01	"AP2A1,PLCG1,PTPA,PTPN11"
CXCR4 Signaling	0.00E+00		1.36E-01	"ADCY1,GUCY1B1,MRAS,MYL1,MYL9,PAK1,RASD2,RHOT1"
Calcium-induced T Lymphocyte Apoptosis	0.00E+00		2.50E-01	"ATP2A1,CALM1 (includes others),HDAC2,PLCG1"
Cardiac Hypertrophy Signaling	0.00E+00		1.79E-01	"ADCY1,CACNA1A,CALM1 (includes others),EIF2B2,GATA4,GUCY1B1,HAND2,MRAS,MYL1,MYL9,PLCD3,PLCG1,PLCZ1,RASD2,RHOT1,SOS1,TGFBR1"
Cardiac Hypertrophy Signaling (Enhanced)	0.00E+00		2.21E-01	"ADCY1,APEX1,ATP2A1,CACNA1A,CALM1 (includes others),CAMK2D,DLG1,EIF2B2,FGF20,FGF6,FGFR1,FGFRL1,GATA4,GUCY1B1,HAND2,HDAC2,HDAC7,INPP5F,ITGA2B,ITGA8,MKNK2,MRAS,NPR1,PDE1B,PDE8A,PLCD3,PLCG1,PLCZ1,PRKG1,RASD2,RPS6,RPS6KB2,SMPDL3B,TGFBR1,TSC2,WNT4"
Cardiac β-adrenergic Signaling	0.00E+00		1.71E-01	"ADCY1,AKAP1,APEX1,ATP2A1,CACNA1A,GUCY1B1,MRAS,PDE1B,PDE8A,PTPA,SLC8A2,SMPDL3B"
Cardiomyocyte Differentiation via BMP Receptors	0.00E+00		1.00E-01	GATA4
Cell Cycle Regulation by BTG Family Proteins	0.00E+00		1.43E-01	"CCND1,PTPA"
Cell Cycle: G1/S Checkpoint Regulation	0.00E+00		2.31E-01	"CCND1,HDAC2,HDAC7,RPL11,RPL5,SKP1"
Ceramide Signaling	0.00E+00		1.76E-01	"KSR1,MRAS,PTPA,RASD2,SMPD1,SMPD2"
Chemokine Signaling	0.00E+00		2.17E-01	"CALM1 (includes others),CAMK2D,MRAS,PLCG1,RASD2"
Cholecystokinin/Gastrin-mediated Signaling	0.00E+00		1.35E-01	"EGFR,MRAS,RASD2,RHOT1,SOS1"
Chronic Myeloid Leukemia Signaling	0.00E+00		2.00E-01	"CCND1,HDAC2,HDAC7,MRAS,PTPN11,RASD2,SOS1,TGFBR1"
Citrulline-Nitric Oxide Cycle	0.00E+00		2.50E-01	ASL
Clathrin-mediated Endocytosis Signaling	0.00E+00		2.12E-01	"ACTC1,ACTG1,AP2A1,ARPC1B,ARPC3,ARPC4,CSNK2B,DNM1,DNM1L,FGF20,FGF6,HSPA8,RPS27A,UBA52"
Colorectal Cancer Metastasis Signaling	0.00E+00		2.00E-01	"ADCY1,BRAF,CCND1,DCC,EGFR,GUCY1B1,LRP1,LRP6,MMP17,MRAS,MSH2,MSH6,RASD2,RHOT1,SOS1,TGFBR1,WNT4"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	0.00E+00		1.32E-01	"ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PTPA,PTPN11,RASA1,RNGTT"
