© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->GS.pco2
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	GS.pco2
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446105

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->GS.pco2
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	-0E00	-0.4472135954999579	2.40E-01	MRAS,PLCD3,PLCG1,PLCZ1,RASD2,TSC2,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A	
3-phosphoinositide Biosynthesis	-0E00	1.0	1.23E-01	ALPL,ENTPD6,INPP5F,NUDT11,OCRL,PI4K2A,PTPA,PTPN11,RASA1,RNGTT	
3-phosphoinositide Degradation	-0E00	0.3333333333333333	1.37E-01	ALPL,ENTPD6,INPP5F,MTMR3,NUDT11,OCRL,PTPA,PTPN11,RASA1,RNGTT	
AMPK Signaling	-0E00	0.3333333333333333	2.00E-01	CCNA2,CCND1,CHRNA7,CHRNA9,CHRNB2,CKM,EEF2K,GYS2,MLST8,MRAS,ORAI2,PBRM1,PPAT,PPM1E,PRKAB2,PTPA,SMARCA4,TSC2	
ATM Signaling	-0E00	1.414213562373095	2.31E-01	CCNB2,CCNB3,CDK1,HERC2,KAT5,PTPA,RAD50,RAD51,SMC2	
Acetone Degradation I (to Methylglyoxal)	-0E00		2.50E-01	CYP2A6 (includes others),CYP2U1,CYP4B1	
Actin Cytoskeleton Signaling	-0E00	-2.886751345948129	2.21E-01	ACTC1,ACTG1,ARPC1B,ARPC3,ARPC4,FGF20,FGF6,FLNA,ITGA2B,ITGA8,MRAS,MYL1,MYL9,MYO1H,PAK1,RASD2,SOS1,TLN1,VCL	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00		1.25E-01	PPIB	
Acute Phase Response Signaling	-0E00	-0.8164965809277261	1.94E-01	A2M,MRAS,PLG,PTPN11,RASD2,SOD2,SOS1	
Acyl-CoA Hydrolysis	-0E00		2.50E-01	PPT1	
Adipogenesis pathway	-0E00		1.64E-01	CCNH,EBF1,FGFR1,FGFRL1,GTF2H4,HDAC2,HDAC7,RBBP7,SIN3B	
Adrenomedullin signaling pathway	-0E00	1.885618083164127	2.50E-01	ADCY1,BRAF,CALM1 (includes others),CTH,GUCY1B1,GUCY2C,GUCY2D,Gucy2d,GUCY2F,KCNN2,MRAS,NPR1,NPR2,PLCD3,PLCG1,PLCZ1,PRKG1,RASD2,SHC2,SOS1	
Agranulocyte Adhesion and Diapedesis	-0E00		2.50E-01	ACTC1,ACTG1,MMP17,MYL1,MYL9,MYO1H	
Aldosterone Signaling in Epithelial Cells	-0E00	0.4472135954999579	1.58E-01	AHCY,CRYAB,DNAJC13,DNAJC27,DNAJC3,HSPA8,ODF1,PLCD3,PLCG1,PLCZ1,SOS1,TRAP1	
Amyloid Processing	-0E00		1.25E-01	CAPN3,CAPN7,CSNK2B	
Androgen Signaling	-0E00	0.4472135954999579	1.86E-01	CACNA1A,CACNA1G,CALM1 (includes others),CCND1,CCNH,GTF2H4,MRAS,POLR2B,POLR2C,TAF2,TBP	
Antioxidant Action of Vitamin C	-0E00	0.4472135954999579	1.76E-01	PLAAT4,PLCD3,PLCG1,PLCZ1,PLD1,PRDX6	
Apelin Adipocyte Signaling Pathway	-0E00	-1.414213562373095	2.43E-01	ADCY1,CAT,GPX1,GPX2,GPX4,GUCY1B1,MGST3,PRDX6,PRKAB2	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00		2.50E-01	PRKAB2	
Apelin Cardiomyocyte Signaling Pathway	-0E00	-1.414213562373095	2.05E-01	ATP2A1,CAT,MYL1,MYL9,PLCD3,PLCG1,PLCZ1,SLC8A2	
Apelin Endothelial Signaling Pathway	-0E00	-0.8164965809277261	1.57E-01	ADCY1,ANGPT1,CALM1 (includes others),GUCY1B1,MRAS,PRKAB2,RASD2,RPS6KB2	
Apelin Liver Signaling Pathway	-0E00		1.67E-01	COL2A1	
Apelin Muscle Signaling Pathway	-0E00		1.54E-01	MRAS,PRKAB2	
Apelin Pancreas Signaling Pathway	-0E00		5.00E-02	PRKAB2	
Assembly of RNA Polymerase I Complex	-0E00		2.00E-01	TBP	
Assembly of RNA Polymerase II Complex	-0E00	-2.4494897427831783	2.40E-01	CCNH,GTF2H4,POLR2B,POLR2C,TAF2,TBP	
Atherosclerosis Signaling	-0E00		2.14E-01	COL2A1,PLAAT4,PRDX6	
Autophagy	-0E00	1.2649110640673518	1.32E-01	CALM1 (includes others),EIF2A,GORASP2,KAT5,MLST8,PI4K2A,PRKAB2,PTPA,SLC7A5,TSC2	
Axonal Guidance Signaling	-0E00		2.22E-01	ARPC1B,ARPC3,ARPC4,DCC,ECE2,EIF3F,EIF3H,EPHB1,HERC2,ITGA2B,ITGA8,MMP17,MRAS,MYL1,MYL9,NTN1,PAK1,PLCD3,PLCG1,PLCZ1,PMPCB,PTPN11,RASA1,RASD2,ROBO1,ROBO2,SLIT2,SOS1,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A,UNC5C,WNT4	
B Cell Receptor Signaling	-0E00	0.30151134457776363	1.97E-01	BCL6,CALM1 (includes others),CAMK2D,CD22,EBF1,ETS1,INPP5F,MRAS,OCRL,PTPN11,RASD2,RPS6KB2,SOS1	
BAG2 Signaling Pathway	-0E00	-2.0	2.22E-01	CHRNA7,HSPA8,PRKN,PSMA1,PSMA2,PSMA6,PSMB10,PSMC2,PSMC4,PSME4	
BEX2 Signaling Pathway	-0E00		1.50E-01	CCND1,PTPA,TSC2	
BMP signaling pathway	-0E00		9.68E-02	MRAS,RASD2,SOS1	
Basal Cell Carcinoma Signaling	-0E00		4.17E-02	WNT4	
Breast Cancer Regulation by Stathmin1	-0E00	2.5018511664883785	1.88E-01	AURKB,CAMK2D,CCKAR,CCND1,CDK1,FSHR,GABBR2,GPR84,GRM6,HTR1A,HTR7,LHCGR,MRAS,NPY5R,PAK1,PTPA,RASD2,RXFP2,SHC2,SOS1,SPDEF,TACR2,TUBA1A,TUBA1B,TUBA3E,TUBA4A,TUBB2B,TUBB4A	
CCR3 Signaling in Eosinophils	-0E00		9.30E-02	CALM1 (includes others),MRAS,PAK1,RASD2	
CCR5 Signaling in Macrophages	-0E00		2.00E-01	CACNA1A,CACNA1G,CALM1 (includes others),MRAS,PLCG1	
CD27 Signaling in Lymphocytes	-0E00		5.26E-02	CYC1	
CD28 Signaling in T Helper Cells	-0E00	-1.889822365046136	1.79E-01	ARPC1B,ARPC3,ARPC4,CALM1 (includes others),PAK1,PLCG1,PTPN11	
CDC42 Signaling	-0E00	-2.4494897427831783	2.44E-01	ARPC1B,ARPC3,ARPC4,EXOC3,EXOC8,ITGA2B,ITGA8,MYL1,MYL9,PAK1,RASA1	
