Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	0.00E+00	1.341640786	2.40E-01	"EDC3,MAPK3,MRAS,PIK3CA,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A,YAP1,YWHAB"
3-phosphoinositide Biosynthesis	0.00E+00	0.229415734	2.72E-01	"ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PIK3CA,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX"
3-phosphoinositide Degradation	0.00E+00	0	2.88E-01	"ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX"
4-1BB Signaling in T Lymphocytes	0.00E+00		2.22E-01	"MAPK3,NFKB1"
5-aminoimidazole Ribonucleotide Biosynthesis I	0.00E+00		3.33E-01	GART
AMPK Signaling	0.00E+00	0.25819889	3.11E-01	"AK1,CCNA2,CCND1,CHRNA7,CKM,CPT1A,CPT2,EP300,FOXO6,GNAO1,GNB5,GYS2,MRAS,PFKFB3,PFKFB4,PIK3CA,PPM1E,PPM1G,PPP2R3A,PPP2R5E,PRKAG1,RAB27A,RAB6A,RAB7A,SMARCA4,SMARCB1,SMARCC1,SMARCD1"
ATM Signaling	0.00E+00	1.264911064	3.08E-01	"ATR,BRCA1,CBX1,CCNB2,CCNB3,CDK1,CHEK1,PPP1CC,PPP2R3A,PPP2R5E,RAD51,SMC2"
Acute Myeloid Leukemia Signaling	0.00E+00	1.632993162	2.73E-01	"CCND1,IDH1,IDH3B,IDH3G,MAPK3,MRAS,NFKB1,PIK3CA,STAT5A"
Acute Phase Response Signaling	0.00E+00	2.333333333	2.78E-01	"A2M,ECSIT,ITIH3,MAPK3,MRAS,NFKB1,PDPK1,PIK3CA,SOCS7,SOD2"
Adipogenesis pathway	0.00E+00		3.64E-01	"CDK7,CLOCK,EBF1,ERCC2,EZH2,FGFR1,FGFR3,FGFRL1,HDAC2,HDAC7,KAT2A,KAT6B,LPIN1,NOCT,NR1D1,PPIP5K1,RBBP7,SMAD1,SMAD9,SREBF1"
Adrenomedullin signaling pathway	0.00E+00	-1.147078669	2.63E-01	"ADCY1,ADCY6,ADCY9,CALCRL,CALM1 (includes others),CSK,GUCY1A1,GUCY2F,Gucy2g,ITPR1,KCNN2,MAPK3,MRAS,NFKB1,NPR1,PIK3CA,PRKAG1,RXRA,SHC2,SLC39A7,TTN"
