© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.lightcyan1
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.lightcyan1
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446108

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.lightcyan1
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	-0E00	1.3416407864998738	2.40E-01	EDC3,MAPK3,MRAS,PIK3CA,TUBA1B,TUBA1C,TUBA3C/TUBA3D,TUBA4A,TUBB2B,TUBB4A,YAP1,YWHAB	
3-phosphoinositide Biosynthesis	-0E00	0.22941573387056174	2.72E-01	ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PIK3CA,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX	
3-phosphoinositide Degradation	-0E00	0.0	2.88E-01	ALPL,ENTPD6,FIG4,INPP5F,NOCT,OCRL,PGAM5,PPIP5K1,PPP1CA,PPP1CC,PPP2R3A,PPP2R5E,PPP3CA,PRUNE1,PTPN1,PTPN23,PTPRF,PTPRJ,PTPRN,SACM1L,STYX	
4-1BB Signaling in T Lymphocytes	-0E00		2.22E-01	MAPK3,NFKB1	
5-aminoimidazole Ribonucleotide Biosynthesis I	-0E00		3.33E-01	GART	
AMPK Signaling	-0E00	0.2581988897471611	3.11E-01	AK1,CCNA2,CCND1,CHRNA7,CKM,CPT1A,CPT2,EP300,FOXO6,GNAO1,GNB5,GYS2,MRAS,PFKFB3,PFKFB4,PIK3CA,PPM1E,PPM1G,PPP2R3A,PPP2R5E,PRKAG1,RAB27A,RAB6A,RAB7A,SMARCA4,SMARCB1,SMARCC1,SMARCD1	
ATM Signaling	-0E00	1.2649110640673518	3.08E-01	ATR,BRCA1,CBX1,CCNB2,CCNB3,CDK1,CHEK1,PPP1CC,PPP2R3A,PPP2R5E,RAD51,SMC2	
Acute Myeloid Leukemia Signaling	-0E00	1.6329931618554523	2.73E-01	CCND1,IDH1,IDH3B,IDH3G,MAPK3,MRAS,NFKB1,PIK3CA,STAT5A	
Acute Phase Response Signaling	-0E00	2.3333333333333335	2.78E-01	A2M,ECSIT,ITIH3,MAPK3,MRAS,NFKB1,PDPK1,PIK3CA,SOCS7,SOD2	
Adipogenesis pathway	-0E00		3.64E-01	CDK7,CLOCK,EBF1,ERCC2,EZH2,FGFR1,FGFR3,FGFRL1,HDAC2,HDAC7,KAT2A,KAT6B,LPIN1,NOCT,NR1D1,PPIP5K1,RBBP7,SMAD1,SMAD9,SREBF1	
Adrenomedullin signaling pathway	-0E00	-1.1470786693528088	2.63E-01	ADCY1,ADCY6,ADCY9,CALCRL,CALM1 (includes others),CSK,GUCY1A1,GUCY2F,Gucy2g,ITPR1,KCNN2,MAPK3,MRAS,NFKB1,NPR1,PIK3CA,PRKAG1,RXRA,SHC2,SLC39A7,TTN	
Aldosterone Signaling in Epithelial Cells	-0E00	3.0	2.50E-01	AHCY,DNAJC13,DNAJC19,DNAJC2,DNAJC7,HSPA12A,HSPA12B,HSPD1,ITPR1,MAPK3,ODF1,PDPK1,PIK3CA,Sacs,SCNN1G,SGK1,SLC12A1,SLC12A2,TRAP1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		3.33E-01	NFKB1	
Amyloid Processing	-0E00		2.08E-01	BACE1,CAPN2,CSNK2B,MAPK3,PRKAG1	
Angiopoietin Signaling	-0E00	1.3416407864998738	1.94E-01	ANGPT1,MRAS,NFKB1,PAK1,PIK3CA,STAT5A	
Antioxidant Action of Vitamin C	-0E00	-1.3416407864998738	2.35E-01	MAPK3,NFKB1,PLAAT4,PLD1,PRDX6,SLC23A1,STAT5A,TXNRD3	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	1.0	2.86E-01	GNB5,GUCY1A1,GUCY2F,Gucy2g,MAPK3,MRAS,NOS1,NPR1,PIK3CA,SLC39A7	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00		2.50E-01	PRKAG1	
Apelin Cardiomyocyte Signaling Pathway	-0E00	2.82842712474619	2.05E-01	CAT,ITPR1,MAPK3,MYL1,MYL9,PIK3CA,SLC8A2,SLC9A3	
Apelin Endothelial Signaling Pathway	-0E00	0.9045340337332909	2.55E-01	ADCY1,ADCY6,ADCY9,ANGPT1,CALM1 (includes others),GNAO1,GNB5,GUCY1A1,MAPK3,MRAS,NFKB1,PIK3CA,PRKAG1	
Apelin Muscle Signaling Pathway	-0E00		3.08E-01	GNAO1,GNB5,MRAS,PRKAG1	
Apelin Pancreas Signaling Pathway	-0E00	1.3416407864998738	2.50E-01	EIF2AK3,ERN1,NFKB1,PIK3CA,PRKAG1	
April Mediated Signaling	-0E00		1.00E-01	NFKB1	
Arginine Biosynthesis IV	-0E00		3.33E-01	ASL	
Assembly of RNA Polymerase II Complex	-0E00	2.1213203435596424	3.20E-01	CDK7,ERCC2,POLR2B,POLR2D,POLR2H,TAF2,TAF6,TBP	
