Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	0.00E+00	-0.707106781	3.20E-01	"MAP2K1,MRAS,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKCE,RASD2,TSC2,TUBA1A,TUBA1B,TUBA3E,TUBB2A,TUBB2B,TUBB4A,TUBG1"
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.00E+00		4.00E-01	"INPP5F,OCRL"
3-phosphoinositide Biosynthesis	0.00E+00	1.176696811	3.46E-01	"ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PI4K2A,PI4KA,PIK3C2B,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11"
3-phosphoinositide Degradation	0.00E+00	0.40824829	3.56E-01	"ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR3,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11"
AMPK Signaling	0.00E+00	1.414213562	4.00E-01	"AK1,CCNA2,CCND1,CHRNA10,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CKM,CPT1A,EEF2,FOXO6,GNA11,GNAS,GYS2,MAPK14,MLST8,MRAS,ORAI2,PBRM1,PFKP,PIK3C2B,PPAT,PPM1B,PPM1E,PPP2CA,PRKAB2,PRKAR1A,PTPA,SIRT1,SMARCA4,SMARCB1,SMARCC1,SMARCD1,STIM1,TSC2"
ATM Signaling	0.00E+00	-0.534522484	4.10E-01	"CBX1,CCNB3,CDK1,CHEK1,FANCD2,HERC2,KAT5,MAPK14,PPP2CA,PTPA,RAD51,SMC1A,SMC2,TOPBP1,TRRAP,USP7"
Acetone Degradation I (to Methylglyoxal)	0.00E+00		1.67E-01	"CYP4B1,PTGR1"
Activation of IRF by Cytosolic Pattern Recognition Receptors	0.00E+00		3.75E-01	"CHUK,ELP1,PPIB"
Acute Myeloid Leukemia Signaling	0.00E+00	0	3.94E-01	"BRAF,CCND1,IDH1,IDH3B,IDH3G,JUP,MAP2K1,MAP2K6,MRAS,PIK3C2B,RASD2,RPS6KB2,SOS1"
Acute Phase Response Signaling	0.00E+00	-0.632455532	3.61E-01	"CHUK,ELP1,KLKB1,MAP2K1,MAP2K6,MAPK14,MRAS,PDPK1,PTPN11,RASD2,SOD2,SOS1,TAB1"
Acyl-CoA Hydrolysis	0.00E+00		2.50E-01	ACOT4
Adenosine Nucleotides Degradation II	0.00E+00		3.75E-01	"ADA2,ADARB2,NT5C3B"
