© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.green
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	MM.green
Date	Tue Apr 26 16:05:16 PDT 2022
Analysis ID	39446110

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression pvalue
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression other	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p3 - 2022-04-26 04:04 PM->MM.green
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
14-3-3-mediated Signaling	-0E00	-0.7071067811865475	3.20E-01	MAP2K1,MRAS,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKCE,RASD2,TSC2,TUBA1A,TUBA1B,TUBA3E,TUBB2A,TUBB2B,TUBB4A,TUBG1	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	-0E00		4.00E-01	INPP5F,OCRL	
3-phosphoinositide Biosynthesis	-0E00	1.1766968108291043	3.46E-01	ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PI4K2A,PI4KA,PIK3C2B,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11	
3-phosphoinositide Degradation	-0E00	0.4082482904638631	3.56E-01	ALPL,DOT1L,DUSP12,DUSP13,INPP5F,MTMR3,MTMR7,NUDT11,NUDT9,OCRL,PGAM5,PPFIA3,PPP1R3D,PPP1R7,PPP2CA,PPP4R1,PPP5C,PPTC7,PRUNE1,PTPA,PTPN11,PTPN13,PTPRF,RASA1,RNGTT,WBP11	
AMPK Signaling	-0E00	1.4142135623730951	4.00E-01	AK1,CCNA2,CCND1,CHRNA10,CHRNA6,CHRNA7,CHRNA9,CHRNB2,CKM,CPT1A,EEF2,FOXO6,GNA11,GNAS,GYS2,MAPK14,MLST8,MRAS,ORAI2,PBRM1,PFKP,PIK3C2B,PPAT,PPM1B,PPM1E,PPP2CA,PRKAB2,PRKAR1A,PTPA,SIRT1,SMARCA4,SMARCB1,SMARCC1,SMARCD1,STIM1,TSC2	
ATM Signaling	-0E00	-0.5345224838248488	4.10E-01	CBX1,CCNB3,CDK1,CHEK1,FANCD2,HERC2,KAT5,MAPK14,PPP2CA,PTPA,RAD51,SMC1A,SMC2,TOPBP1,TRRAP,USP7	
Acetone Degradation I (to Methylglyoxal)	-0E00		1.67E-01	CYP4B1,PTGR1	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00		3.75E-01	CHUK,ELP1,PPIB	
Acute Myeloid Leukemia Signaling	-0E00	0.0	3.94E-01	BRAF,CCND1,IDH1,IDH3B,IDH3G,JUP,MAP2K1,MAP2K6,MRAS,PIK3C2B,RASD2,RPS6KB2,SOS1	
Acute Phase Response Signaling	-0E00	-0.6324555320336759	3.61E-01	CHUK,ELP1,KLKB1,MAP2K1,MAP2K6,MAPK14,MRAS,PDPK1,PTPN11,RASD2,SOD2,SOS1,TAB1	
Acyl-CoA Hydrolysis	-0E00		2.50E-01	ACOT4	
Adenosine Nucleotides Degradation II	-0E00		3.75E-01	ADA2,ADARB2,NT5C3B	
Adipogenesis pathway	-0E00		3.82E-01	CCNH,CLOCK,EBF1,FBXW7,FGFR1,FGFRL1,FZD8,GTF2H2,GTF2H3,GTF2H4,HAT1,HDAC2,HDAC7,KAT2A,KAT6B,KAT7,NR1D1,RBBP7,SIN3B,SIRT1,SMO	
Adrenomedullin signaling pathway	-0E00	0.7559289460184544	4.00E-01	ADCY1,ADCY4,ADCY5,ADCY8,ADCY9,BRAF,CALM1 (includes others),CTH,GAD1,GNA11,GNAS,GUCY1B1,GUCY2C,Gucy2d,ITPR1,KCNH2,KCNN2,MAP2K1,MAP2K6,MAPK14,MMP2,MRAS,NPR2,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKAR1A,PRKG1,RASD2,SLC39A7,SOS1	
Aldosterone Signaling in Epithelial Cells	-0E00	0.6324555320336759	2.76E-01	CRYAB,DNAJB12,DNAJB9,DNAJC19,HSP90AA1,HSP90AB1,HSPA8,HSPD1,ITPR1,MAP2K1,PDPK1,PI4KA,PIK3C2B,PLCD3,PLCG1,PLCZ1,PRKCE,SACS,SMO,SOS1,TRAP1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		3.33E-01	CHUK	
Amyotrophic Lateral Sclerosis Signaling	-0E00	4.123105625617661	4.00E-01	ALS2,CACNA1A,CACNA1B,CACNA1D,CAPN2,CAPN7,CASP7,CAT,GLUL,GPX1,GRIA2,GRID1,GRID2,GRIK1,GRIK2,GRIK3,GRIN2C,GRIN2D,NEFH,PAK1,PIK3C2B,RAB5A	
