© 2000-2022 QIAGEN. All rights reserved.

Analysis Details for My Projects->Spencer - RKC pH->ipa_upload.p1 - 2022-04-11 02:49 PM - LFC, User Dataset->Amb_vs_Mod
Workspace	My Projects
Project	Spencer - RKC pH
Analysis	Amb_vs_Mod
Date	Mon Apr 11 14:50:28 PDT 2022
Analysis ID	39401803

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	User Dataset
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Spencer - RKC pH->ipa_upload.p1 - 2022-04-11 02:49 PM - LFC, User Dataset->Amb_vs_Mod
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Biosynthesis	-0E00	0.0	5.06E-02	PPP4R1,PRUNE1,SACM1L,SSH3	
3-phosphoinositide Degradation	-0E00	0.0	5.63E-02	PPP4R1,PRUNE1,SACM1L,SSH3	
AMPK Signaling	-0E00		4.44E-02	CHRNA6,CHRNA7,CHRNB2,CKM	
ATM Signaling	-0E00		5.13E-02	CHEK1,MAP2K4	
Actin Cytoskeleton Signaling	-0E00	0.0	4.65E-02	ARHGAP35,ARHGEF4,CSK,SSH3	
Acute Myeloid Leukemia Signaling	-0E00		6.06E-02	IDH3G,MAP2K4	
Acute Phase Response Signaling	-0E00		5.56E-02	MAP2K4,SOD2	
Adipogenesis pathway	-0E00		5.45E-02	FGFR1,HDAC6,SIN3B	
Agrin Interactions at Neuromuscular Junction	-0E00		3.57E-02	MAP2K4	
Aldosterone Signaling in Epithelial Cells	-0E00		6.58E-02	DNAJC8,HSPA1L,KCNMA1,PLCB3,PLCL2	
Amyloid Processing	-0E00		4.17E-02	CSNK2B	
Androgen Signaling	-0E00		5.08E-02	CACNA1A,CACNA1G,CACNA2D4	
Angiopoietin Signaling	-0E00		3.23E-02	ANGPT1	
Apelin Cardiomyocyte Signaling Pathway	-0E00		7.69E-02	CAT,PLCB3,PLCL2	
Apelin Endothelial Signaling Pathway	-0E00		7.84E-02	ANGPT1,GUCY1B1,MAP2K4,PLCB3	
Apelin Pancreas Signaling Pathway	-0E00		5.00E-02	MAP2K4	
Apoptosis Signaling	-0E00		2.63E-02	MAP2K4	
Atherosclerosis Signaling	-0E00		7.14E-02	PRDX6	
Autophagy	-0E00		3.95E-02	CDKN1B,EIF2A,MAP2K4	
Axonal Guidance Signaling	-0E00		5.63E-02	ADAM10,L1CAM,PLCB3,PLCL2,PMPCB,ROBO1,TUBA1B,TUBA3C/TUBA3D,TUBB4A	
B Cell Receptor Signaling	-0E00		4.55E-02	CAMK2D,CSK,MAP2K4	
BAG2 Signaling Pathway	-0E00		6.67E-02	CHRNA7,HSPA1L,PSMC2	
BER (Base Excision Repair) Pathway	-0E00		6.90E-02	MAP2K4,RFC2	
BEX2 Signaling Pathway	-0E00		5.00E-02	MAP2K4	
BMP signaling pathway	-0E00		3.23E-02	MAP2K4	
Bladder Cancer Signaling	-0E00		3.57E-02	HDAC6	
Breast Cancer Regulation by Stathmin1	-0E00	-0.3333333333333333	6.04E-02	ARHGEF4,CAMK2D,CDKN1B,GABBR1,GPR139,PLCB3,TUBA1B,TUBA3C/TUBA3D,TUBB4A	
CCR3 Signaling in Eosinophils	-0E00		2.33E-02	PLCB3	
CD27 Signaling in Lymphocytes	-0E00		5.26E-02	MAP2K4	
CD28 Signaling in T Helper Cells	-0E00		5.13E-02	CSK,MAP2K4	
CD40 Signaling	-0E00		4.76E-02	MAP2K4	
CDC42 Signaling	-0E00		2.22E-02	MAP2K4	
CDK5 Signaling	-0E00		4.17E-02	CACNA1A,GUCY1B1	
CREB Signaling in Neurons	-0E00	-2.7136021011998728	7.27E-02	CACNA1A,CACNA1G,CACNA2D4,CAMK2D,FGFR1,GABBR1,GPR139,GRID2,GRIK2,GUCY1B1,PLCB3,PLCL2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		3.57E-02	AP2A1	
CXCR4 Signaling	-0E00		5.08E-02	GUCY1B1,MAP2K4,PLCB3	
Cancer Drug Resistance By Drug Efflux	-0E00		4.55E-02	ABCB1	
Cardiac Hypertrophy Signaling	-0E00	-2.0	6.38E-02	CACNA1A,CACNA2D4,GUCY1B1,MAP2K4,PLCB3,PLCL2	
Cardiac Hypertrophy Signaling (Enhanced)	-0E00	-2.1213203435596424	6.21E-02	CACNA1A,CACNA2D4,CAMK2D,FGFR1,GUCY1B1,HDAC6,MAP2K4,PDE4D,PLCB3,PLCL2	
Cardiac β-adrenergic Signaling	-0E00		7.35E-02	CACNA1A,CACNA2D4,GRK3,GUCY1B1,PDE4D	
Caveolar-mediated Endocytosis Signaling	-0E00		6.67E-02	COPB1,COPE	
Cell Cycle Control of Chromosomal Replication	-0E00		5.41E-02	MCM3,MCM8	
Ceramide Signaling	-0E00		5.88E-02	MAP2K4,SMPD1	
Cholecystokinin/Gastrin-mediated Signaling	-0E00		5.41E-02	MAP2K4,PLCB3	
Chronic Myeloid Leukemia Signaling	-0E00		5.00E-02	CDKN1B,HDAC6	
Clathrin-mediated Endocytosis Signaling	-0E00		4.55E-02	AP2A1,CSNK2B,UBA52	
Colorectal Cancer Metastasis Signaling	-0E00		4.71E-02	GRK3,GUCY1B1,LRP6,MAP2K4	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00		6.67E-02	PLCB3	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	0.0	6.06E-02	PPP4R1,PRUNE1,SACM1L,SSH3	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	0.0	6.06E-02	PPP4R1,PRUNE1,SACM1L,SSH3	
D-myo-inositol-5-phosphate Metabolism	-0E00	-0.4472135954999579	6.58E-02	PLCB3,PPP4R1,PRUNE1,SACM1L,SSH3	
Death Receptor Signaling	-0E00		4.00E-02	MAP2K4	
Dopamine Receptor Signaling	-0E00		6.06E-02	GUCY1B1,QDPR	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	-1.0	7.04E-02	CACNA1A,CACNA2D4,GUCY1B1,PLCB3,PLCL2	
ERB2-ERBB3 Signaling	-0E00		4.00E-02	CDKN1B	
ERBB Signaling	-0E00		2.86E-02	MAP2K4	
ERK/MAPK Signaling	-0E00		1.39E-02	RAPGEF1	
Eicosanoid Signaling	-0E00		6.67E-02	PRDX6	
Endocannabinoid Developing Neuron Pathway	-0E00		7.55E-02	CDKN1B,GUCY1B1,MAP2K4,RAP1GAP	
Endothelin-1 Signaling	-0E00	-1.0	7.35E-02	GUCY1B1,GUCY2C,PLCB3,PLCL2,PRDX6	
Ephrin A Signaling	-0E00		5.56E-02	ADAM10	
Ephrin Receptor Signaling	-0E00		4.55E-02	ADAM10,ANGPT1,RAPGEF1	
Epithelial Adherens Junction Signaling	-0E00	1.0	5.63E-02	ARHGAP35,FGFR1,NOTCH2,RAPGEF1	
Estrogen-Dependent Breast Cancer Signaling	-0E00		6.90E-02	HSD17B12,HSD17B4	
FAK Signaling	-0E00	-2.23606797749979	3.29E-02	ARHGAP35,CSK,GABBR1,GPR139,MAP2K4	
FAT10 Signaling Pathway	-0E00		3.03E-02	PSMC2	
FGF Signaling	-0E00		3.33E-02	FGFR1	
Fc Epsilon RI Signaling	-0E00		2.44E-02	MAP2K4	
G Beta Gamma Signaling	-0E00		7.50E-02	CACNA1A,CACNA1G,CACNA2D4	
G Protein Signaling Mediated by Tubby	-0E00		7.14E-02	PLCB3	
G-Protein Coupled Receptor Signaling	-0E00	0.0	6.12E-02	CAMK2D,GABBR1,GPR139,GRK3,GRK6,GUCY1B1,KCNN2,MAP2K4,PDE4D,PLCB3,RAP1GAP,RAPGEF1	
GADD45 Signaling	-0E00		4.55E-02	MAP2K4	
GDNF Family Ligand-Receptor Interactions	-0E00		8.00E-02	MAP2K4,RET	
GM-CSF Signaling	-0E00		7.69E-02	CAMK2D,RACK1	
GP6 Signaling Pathway	-0E00		4.76E-02	ADAM10,COL7A1	
Germ Cell-Sertoli Cell Junction Signaling	-0E00		5.63E-02	MAP2K4,TUBA1B,TUBA3C/TUBA3D,TUBB4A	
